suite_id,sample_id,code,value
1,1,10,9
1,10,10,9
1,2,10,9
1,3,10,9
1,4,10,9
1,5,10,9
1,6,10,9
1,7,10,9
1,8,10,9
1,9,10,9
10,1,10,9
10,10,10,9
10,2,10,9
10,3,10,9
10,4,10,9
10,5,10,9
10,6,10,9
10,7,10,9
10,8,10,9
10,9,10,9
100,1,10,9
100,10,10,9
100,2,10,9
100,3,10,9
100,4,10,9
100,5,10,9
100,6,10,9
100,7,10,9
100,8,10,9
100,9,10,9
11,1,10,9
11,10,10,9
11,2,10,9
11,3,10,9
11,4,10,9
11,5,10,9
11,6,10,9
11,7,10,9
11,8,10,9
11,9,10,9
12,1,10,9
12,10,10,9
12,2,10,9
12,3,10,9
12,4,10,9
12,5,10,9
12,6,10,9
12,7,10,9
12,8,10,9
12,9,10,9
13,1,10,9
13,10,10,9
13,2,10,9
13,3,10,9
13,4,10,9
13,5,10,9
13,6,10,9
13,7,10,9
13,8,10,9
13,9,10,9
14,1,10,9
14,10,10,9
14,2,10,9
14,3,10,9
14,4,10,9
14,5,10,9
14,6,10,9
14,7,10,9
14,8,10,9
14,9,10,9
15,1,10,9
15,10,10,9
15,2,10,9
15,3,10,9
15,4,10,9
15,5,10,9
15,6,10,9
15,7,10,9
15,8,10,9
15,9,10,9
16,1,10,9
16,10,10,9
16,2,10,9
16,3,10,9
16,4,10,9
16,5,10,9
16,6,10,9
16,7,10,9
16,8,10,9
16,9,10,9
17,1,10,9
17,10,10,9
17,2,10,9
17,3,10,9
17,4,10,9
17,5,10,9
17,6,10,9
17,7,10,9
17,8,10,9
17,9,10,9
18,1,10,9
18,10,10,9
18,2,10,9
18,3,10,9
18,4,10,9
18,5,10,9
18,6,10,9
18,7,10,9
18,8,10,9
18,9,10,9
19,1,10,9
19,10,10,9
19,2,10,9
19,3,10,9
19,4,10,9
19,5,10,9
19,6,10,9
19,7,10,9
19,8,10,9
19,9,10,9
2,1,10,9
2,10,10,9
2,2,10,9
2,3,10,9
2,4,10,9
2,5,10,9
2,6,10,9
2,7,10,9
2,8,10,9
2,9,10,9
20,1,10,9
20,10,10,9
20,2,10,9
20,3,10,9
20,4,10,9
20,5,10,9
20,6,10,9
20,7,10,9
20,8,10,9
20,9,10,9
21,1,10,9
21,10,10,9
21,2,10,9
21,3,10,9
21,4,10,9
21,5,10,9
21,6,10,9
21,7,10,9
21,8,10,9
21,9,10,9
22,1,10,9
22,10,10,9
22,2,10,9
22,3,10,9
22,4,10,9
22,5,10,9
22,6,10,9
22,7,10,9
22,8,10,9
22,9,10,9
23,1,10,9
23,10,10,9
23,2,10,9
23,3,10,9
23,4,10,9
23,5,10,9
23,6,10,9
23,7,10,9
23,8,10,9
23,9,10,9
24,1,10,9
24,10,10,9
24,2,10,9
24,3,10,9
24,4,10,9
24,5,10,9
24,6,10,9
24,7,10,9
24,8,10,9
24,9,10,9
25,1,10,9
25,10,10,9
25,2,10,9
25,3,10,9
25,4,10,9
25,5,10,9
25,6,10,9
25,7,10,9
25,8,10,9
25,9,10,9
26,1,10,9
26,10,10,9
26,2,10,9
26,3,10,9
26,4,10,9
26,5,10,9
26,6,10,9
26,7,10,9
26,8,10,9
26,9,10,9
27,1,10,9
27,10,10,9
27,2,10,9
27,3,10,9
27,4,10,9
27,5,10,9
27,6,10,9
27,7,10,9
27,8,10,9
27,9,10,9
28,1,10,9
28,10,10,9
28,2,10,9
28,3,10,9
28,4,10,9
28,5,10,9
28,6,10,9
28,7,10,9
28,8,10,9
28,9,10,9
29,1,10,9
29,10,10,9
29,2,10,9
29,3,10,9
29,4,10,9
29,5,10,9
29,6,10,9
29,7,10,9
29,8,10,9
29,9,10,9
3,1,10,9
3,10,10,9
3,2,10,9
3,3,10,9
3,4,10,9
3,5,10,9
3,6,10,9
3,7,10,9
3,8,10,9
3,9,10,9
30,1,10,9
30,10,10,9
30,2,10,9
30,3,10,9
30,4,10,9
30,5,10,9
30,6,10,9
30,7,10,9
30,8,10,9
30,9,10,9
31,1,10,9
31,10,10,9
31,2,10,9
